Algorithm,Size,Time
BubbleSortI,10000,0.164677
BubbleSortI,10000,0.168026
BubbleSortI,10000,0.165931
BubbleSortI,10000,0.166059
BubbleSortI,10000,0.165680
BubbleSortI,10000,0.165758
QuickSortI,1000,0.000061
QuickSortI,1000,0.000055
QuickSortI,1000,0.000051
QuickSortI,1000,0.000050
QuickSortI,1000,0.000047
QuickSortI,1000,0.000046
QuickSortI,1000,0.000045
QuickSortI,1000,0.000044
QuickSortI,1000,0.000043
QuickSortI,1000,0.000042
QuickSortI,1000,0.000042
QuickSortI,1000,0.000041
QuickSortI,1000,0.000042
QuickSortI,1000,0.000041
QuickSortI,1000,0.000042
QuickSortI,1000,0.000041
QuickSortI,1000,0.000041
QuickSortI,1000,0.000041
QuickSortI,1000,0.000041
QuickSortI,1000,0.000040
QuickSortI,1000,0.000041
QuickSortI,1000,0.000041
QuickSortI,1000,0.000041
QuickSortI,1000,0.000040
QuickSortI,1000,0.000039
QuickSortI,1000,0.000040
QuickSortI,1000,0.000039
QuickSortI,1000,0.000040
QuickSortI,1000,0.000039
QuickSortI,1000,0.000045
QuickSortI,10000,0.000592
QuickSortI,10000,0.000575
QuickSortI,10000,0.000587
QuickSortI,10000,0.000596
QuickSortI,10000,0.000590
QuickSortI,10000,0.000581
QuickSortI,10000,0.000612
QuickSortI,10000,0.000581
QuickSortI,10000,0.000583
QuickSortI,10000,0.000577
QuickSortI,10000,0.000577
QuickSortI,10000,0.000622
QuickSortI,10000,0.000650
QuickSortI,10000,0.000583
QuickSortI,10000,0.000630
QuickSortI,10000,0.000671
QuickSortI,10000,0.000580
QuickSortI,10000,0.000585
QuickSortI,10000,0.000582
QuickSortI,10000,0.000578
QuickSortI,10000,0.000578
QuickSortI,10000,0.000601
QuickSortI,10000,0.000581
QuickSortI,10000,0.000580
QuickSortI,10000,0.000580
QuickSortI,10000,0.000584
QuickSortI,10000,0.000620
QuickSortI,10000,0.000606
QuickSortI,10000,0.000582
QuickSortI,10000,0.000586
QuickSortI,100000,0.005860
QuickSortI,100000,0.005809
QuickSortI,100000,0.006212
QuickSortI,100000,0.005573
QuickSortI,100000,0.005575
QuickSortI,100000,0.005624
QuickSortI,100000,0.005552
QuickSortI,100000,0.005571
QuickSortI,100000,0.005521
QuickSortI,100000,0.005545
QuickSortI,100000,0.005531
QuickSortI,100000,0.005546
QuickSortI,100000,0.005521
QuickSortI,100000,0.005545
QuickSortI,100000,0.005537
QuickSortI,100000,0.007427
QuickSortI,100000,0.007705
QuickSortI,100000,0.007544
QuickSortI,100000,0.005548
QuickSortI,100000,0.006060
QuickSortI,100000,0.005564
QuickSortI,100000,0.005735
QuickSortI,100000,0.005572
QuickSortI,100000,0.005641
